No,Provinsi,Kabupaten/Kota,Nama Sekolah,Tingkat Sekolah,Tingkat Penghargaan,Jenis Sekolah
531,BALI,BULELENG,SMPN 1 TEJAKULA,SMP/MTS,NASIONAL,negeri
532,NUSA TENGGARA BARAT,LOMBOK BARAT,MAS SAYANG IBU,SMA/MA/SMK,NASIONAL,swasta
533,NUSA TENGGARA TIMUR,ENDE,SMP KATOLIK MARIA GORETI ENDE,SMP/MTS,NASIONAL,swasta
534,KALIMANTAN BARAT,KOTA PONTIANAK,SD PLUS BINA EMPAT LIMA,SD/MI,NASIONAL,swasta
535,KALIMANTAN BARAT,MEMPAWAH,SMPN 1 MEMPAWAH HILIR,SMP/MTS,NASIONAL,negeri
536,KALIMANTAN BARAT,KOTA PONTIANAK,SMAN 7 PONTIANAK,SMA/MA/SMK,NASIONAL,negeri
537,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SDN 2 SIDOREJO,SD/MI,MANDIRI,negeri
538,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SDS BUMITAMA,SD/MI,MANDIRI,swasta
539,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SDN - 2 MENDAWAI,SD/MI,MANDIRI,negeri
540,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SDS HARAPAN SEJAHTERA,SD/MI,MANDIRI,swasta
541,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,SDS BUMITAMA SBHE,SD/MI,MANDIRI,swasta
542,KALIMANTAN TENGAH,SUKAMARA,SDN MENDAWAI 3,SD/MI,MANDIRI,negeri
543,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SDN 5 MADUREJO,SD/MI,NASIONAL,negeri
544,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SDN 8 MADUREJO,SD/MI,NASIONAL,negeri
545,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SDS 015 BEST AGRO,SD/MI,NASIONAL,swasta
546,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,SDS 23 BEST AGRO,SD/MI,NASIONAL,swasta
547,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,SDS HAMPARAN 2,SD/MI,NASIONAL,swasta
548,KALIMANTAN TENGAH,SERUYAN,SD WIJAYA KUSUMA,SD/MI,NASIONAL,swasta
549,KALIMANTAN TENGAH,SERUYAN,SDS 17 BEST AGRO,SD/MI,NASIONAL,swasta
550,KALIMANTAN TENGAH,SERUYAN,SDS HAMPARAN 1,SD/MI,NASIONAL,swasta
551,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SMP INDAH MAKMUR,SMP/MTS,MANDIRI,negeri
552,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SMPN 2 PANGKALAN LADA,SMP/MTS,MANDIRI,negeri
553,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,SMPS HAMPARAN 2,SMP/MTS,MANDIRI,swasta
554,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,163	SMPS 1 BUMITAMA ANTANG KALANG,SMP/MTS,MANDIRI,swasta
555,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SMPS BUMITAMA,SMP/MTS,NASIONAL,swasta
556,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,SMP BUMITAMA METRO CEMPAGA,SMP/MTS,NASIONAL,swasta
557,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,SMP TUNAS PERTIWI,SMP/MTS,NASIONAL,swasta
558,KALIMANTAN TENGAH,LAMANDAU,SMPN 4 BULIK,SMP/MTS,NASIONAL,negeri
559,KALIMANTAN TENGAH,SERUYAN,SMP WIJAYA KUSUMA,SMP/MTS,NASIONAL,swasta
560,KALIMANTAN TENGAH,SERUYAN,SMPS 5 BEST AGRO INTERNATIONAL,SMP/MTS,NASIONAL,swasta
561,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,SMAN 1 KUMAI,SMA/MA/SMK,NASIONAL,negeri
562,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,SMAN 1 CEMPAGA,SMA/MA/SMK,NASIONAL,negeri
563,KALIMANTAN SELATAN,TAPIN,MIN 2 TAPIN,SD/MI,MANDIRI,negeri
564,KALIMANTAN SELATAN,BANJARMASIN,SDN-SN KEBUN BUNGA 4,SD/MI,MANDIRI,negeri
565,KALIMANTAN SELATAN,BANJAR,SDN SUNGAI TABUK KOTA 1,SD/MI,NASIONAL,negeri
566,KALIMANTAN SELATAN,KOTABARU,SDN SUNGAI TAIB,SD/MI,NASIONAL,negeri
567,KALIMANTAN SELATAN,TANAH BUMBU,SDIT DHIA EL WIDAD,SD/MI,NASIONAL,swasta
568,KALIMANTAN SELATAN,TANAH LAUT,UPTD SDN 1 ANGSAU,SD/MI,NASIONAL,negeri
569,KALIMANTAN SELATAN,TAPIN,MIN 3 TAPIN,SD/MI,NASIONAL,negeri
570,KALIMANTAN SELATAN,TAPIN,MIN 8 TAPIN,SD/MI,NASIONAL,negeri
571,KALIMANTAN SELATAN,TAPIN,SDN KEPAYANG,SD/MI,NASIONAL,negeri
572,KALIMANTAN SELATAN,TAPIN,SDN RANTAU KANAN 1,SD/MI,NASIONAL,negeri
573,KALIMANTAN SELATAN,KOTA BANJARBARU,SDN 1 LOKTABAT UTARA,SD/MI,NASIONAL,negeri
574,KALIMANTAN SELATAN,KOTA BANJARMASIN,SDN KARANG MEKAR 1,SD/MI,NASIONAL,negeri
575,KALIMANTAN SELATAN,BANJARMASIN,SDN KEBUN BUNGA 1,SD/MI,NASIONAL,negeri
576,KALIMANTAN SELATAN,BANJARMASIN,SDN KEBUN BUNGA 3,SD/MI,NASIONAL,negeri
577,KALIMANTAN SELATAN,BANJARMASIN,SDN SUNGAI ANDAI 3,SD/MI,NASIONAL,negeri
578,KALIMANTAN SELATAN,TANAH BUMBU,SMPN  1 SIMPANG EMPAT,SMP/MTS,MANDIRI,negeri
579,KALIMANTAN SELATAN,BANJAR,SMPN 2 SAMBUNG MAKMUR,SMP/MTS,NASIONAL,negeri
580,KALIMANTAN SELATAN,BANJAR,SMPN 2 SUNGAI TABUK,SMP/MTS,NASIONAL,negeri
581,KALIMANTAN SELATAN,BANJAR,SMPN 7 KARANG INTAN,SMP/MTS,NASIONAL,negeri
582,KALIMANTAN SELATAN,TABALONG,SMPN 1 TANJUNG,SMP/MTS,NASIONAL,negeri
583,KALIMANTAN SELATAN,TABALONG,SMPN 2 TANJUNG,SMP/MTS,NASIONAL,negeri
584,KALIMANTAN SELATAN,TABALONG,SMPN 7 TANJUNG,SMP/MTS,NASIONAL,negeri
585,KALIMANTAN SELATAN,TABALONG,SMPN 8 TANJUNG,SMP/MTS,NASIONAL,negeri
586,KALIMANTAN SELATAN,TAPIN,MTSS SITI KHADIJAH,SMP/MTS,NASIONAL,swasta
587,KALIMANTAN SELATAN,BANJARMASIN,SMPN 1 BANJARMASIN,SMP/MTS,NASIONAL,negeri
588,KALIMANTAN SELATAN,BANJARMASIN,SMPN 15 BANJARMASIN,SMP/MTS,NASIONAL,negeri
589,KALIMANTAN SELATAN,HULU SUNGAI TENGAH,MAN 1 HULU SUNGAI TENGAH,SMA/MA/SMK,MANDIRI,negeri
590,KALIMANTAN SELATAN,TABALONG,SMAN 1 TANTA,SMA/MA/SMK,MANDIRI,negeri
591,KALIMANTAN SELATAN,TANAH BUMBU,SMAN 1 SUNGAI LOBAN,SMA/MA/SMK,MANDIRI,negeri
592,KALIMANTAN SELATAN,TANAH BUMBU,SMAN 1 ANGSANA,SMA/MA/SMK,MANDIRI,negeri
593,KALIMANTAN SELATAN,BANJAR,MAN 3 BANJAR,SMA/MA/SMK,NASIONAL,negeri
594,KALIMANTAN SELATAN,KOTABARU,SMAN 1 KELUMPANG HILIR,SMA/MA/SMK,NASIONAL,negeri
595,KALIMANTAN SELATAN,TABALONG,SMAN 1 HARUAI,SMA/MA/SMK,NASIONAL,negeri
596,KALIMANTAN SELATAN,TABALONG,SMAN 1 UPAU,SMA/MA/SMK,NASIONAL,negeri
597,KALIMANTAN SELATAN,TABALONG,SMKN 1 JARO,SMA/MA/SMK,NASIONAL,negeri
598,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 013 BALIKPAPAN TENGAH,SD/MI,MANDIRI,negeri
599,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 014 BALIKPAPAN SELATAN,SD/MI,MANDIRI,negeri
600,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 029 BALIKPAPAN UTARA,SD/MI,MANDIRI,negeri
601,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 020 BALIKPAPAN UTARA,SD/MI,MANDIRI,negeri
602,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 013 BALIKPAPAN KOTA,SD/MI,MANDIRI,negeri
603,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 033 BALIKPAPAN UTARA,SD/MI,MANDIRI,negeri
604,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 002 BALIKPAPAN KOTA,SD/MI,MANDIRI,negeri
605,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 023 BALIKPAPAN UTARA,SD/MI,MANDIRI,negeri
606,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 001 BALIKPAPAN BARAT,SD/MI,MANDIRI,negeri
607,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 019 BALIKPAPAN BARAT,SD/MI,MANDIRI,negeri
608,KALIMANTAN TIMUR,KOTA BONTANG,SDN 008 BONTANG UTARA,SD/MI,MANDIRI,negeri
609,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 020 PALARAN,SD/MI,MANDIRI,negeri
610,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 012 SAMARINDA ULU,SD/MI,MANDIRI,negeri
611,KALIMANTAN TIMUR,KUTAI KARTANEGARA,SDN 008 MUARA JAWA,SD/MI,NASIONAL,negeri
612,KALIMANTAN TIMUR,KUTAI TIMUR,SDN 002 SANGATTA SELATAN,SD/MI,NASIONAL,negeri
613,KALIMANTAN TIMUR,KUTAI TIMUR,SDN 006 KARANGAN,SD/MI,NASIONAL,negeri
614,KALIMANTAN TIMUR,PENAJAM PASER UTARA,SDN 009 PENAJAM,SD/MI,NASIONAL,negeri
615,KALIMANTAN TIMUR,PENAJAM PASER UTARA,SDN 020 PENAJAM,SD/MI,NASIONAL,negeri
616,KALIMANTAN TIMUR,PENAJAM PASER UTARA,SDN 028 PENAJAM,SD/MI,NASIONAL,negeri
617,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 001 BALIKPAPAN TENGAH,SD/MI,NASIONAL,negeri
618,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 005 BALIKPAPAN SELATAN,SD/MI,NASIONAL,negeri
619,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 005 BALIKPAPAN TIMUR,SD/MI,NASIONAL,negeri
620,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 007 BALIKPAPAN BARAT,SD/MI,NASIONAL,negeri
621,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 009 BALIKPAPAN TENGAH,SD/MI,NASIONAL,negeri
622,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 012 BALIKPAPAN TIMUR,SD/MI,NASIONAL,negeri
623,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 014 BALIKPAPAN BARAT,SD/MI,NASIONAL,negeri
624,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 016 BALIKPAPAN TENGAH,SD/MI,NASIONAL,negeri
625,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 016 BALIKPAPAN UTARA,SD/MI,NASIONAL,negeri
626,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 021 BALIKPAPAN BARAT,SD/MI,NASIONAL,negeri
627,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 022 BALIKPAPAN UTARA,SD/MI,NASIONAL,negeri
628,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SDN 027 BALIKPAPAN UTARA,SD/MI,NASIONAL,negeri
629,KALIMANTAN TIMUR,KOTA BONTANG,SDN 001 BONTANG UTARA,SD/MI,NASIONAL,negeri
630,KALIMANTAN TIMUR,KOTA SAMARINDA,MIS AL MUJAHIDIN,SD/MI,NASIONAL,swasta
631,KALIMANTAN TIMUR,KOTA SAMARINDA,SD ADVENT SAMARINDA,SD/MI,NASIONAL,swasta
632,KALIMANTAN TIMUR,KOTA SAMARINDA,SD MUHAMMADIYAH 3 SAMARINDA,SD/MI,NASIONAL,swasta
633,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 002 LOA JANAN ILIR,SD/MI,NASIONAL,negeri
634,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 002 SAMARINDA ILIR,SD/MI,NASIONAL,negeri
635,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 002 SAMBUTAN,SD/MI,NASIONAL,negeri
636,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 007 LOA JANAN ILIR,SD/MI,NASIONAL,negeri
637,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 009 SAMARINDA SEBERANG,SD/MI,NASIONAL,negeri
638,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 010 SAMARINDA SEBERANG,SD/MI,NASIONAL,negeri
639,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 012 SUNGAI PINANG,SD/MI,NASIONAL,negeri
640,KALIMANTAN TIMUR,KOTA SAMARINDA,SDN 016 SAMARINDA ULU,SD/MI,NASIONAL,negeri
641,KALIMANTAN TIMUR,KUTAI KARTANEGARA,SMPN 2 LOA JANAN,SMP/MTS,MANDIRI,negeri
642,KALIMANTAN TIMUR,PASER,SMPN 2 BATU SOPANG,SMP/MTS,MANDIRI,negeri
643,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SMP IT ISTIQAMAH BALIK PAPAN,SMP/MTS,MANDIRI,swasta
644,KALIMANTAN TIMUR,KOTA SAMARINDA,SMPN 21 SAMARINDA,SMP/MTS,MANDIRI,negeri
645,KALIMANTAN TIMUR,BERAU,SMPN 2 TALISAYAN,SMP/MTS,NASIONAL,negeri
646,KALIMANTAN TIMUR,KUTAI TIMUR,SMP EKA TJIPTA JAK LUAY 1,SMP/MTS,NASIONAL,swasta
647,KALIMANTAN TIMUR,KUTAI TIMUR,SMPN 1 KAUBUN,SMP/MTS,NASIONAL,negeri
648,KALIMANTAN TIMUR,KUTAI TIMUR,SMPN 3 SANGATTA UTARA,SMP/MTS,NASIONAL,negeri
649,KALIMANTAN TIMUR,PASER,SMPN 1 KUARO,SMP/MTS,NASIONAL,negeri
650,KALIMANTAN TIMUR,PASER,SMPN 4 KUARO,SMP/MTS,NASIONAL,negeri
651,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SMPN 11 BALIKPAPAN,SMP/MTS,NASIONAL,negeri
652,KALIMANTAN TIMUR,KOTA SAMARINDA,SMPN 16 SAMARINDA,SMP/MTS,NASIONAL,negeri
653,KALIMANTAN TIMUR,KOTA SAMARINDA,SMPN 31 SAMARINDA,SMP/MTS,NASIONAL,negeri
654,KALIMANTAN TIMUR,KUTAI KARTANEGARA,SMAN 1 MUARA JAWA,SMA/MA/SMK,MANDIRI,negeri
655,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SMAN 9 BALIKPAPAN,SMA/MA/SMK,MANDIRI,negeri
656,KALIMANTAN UTARA,KOTA TARAKAN,SDN 005 TARAKAN,SD/MI,NASIONAL,negeri
657,KALIMANTAN UTARA,KOTA TARAKAN,SDN 030 SEBENGKOK WARU,SD/MI,NASIONAL,negeri
658,KALIMANTAN UTARA,KOTA TARAKAN,SMPN 7 TARAKAN,SMP/MTS,MANDIRI,negeri
659,KALIMANTAN UTARA,KOTA TARAKAN,SMPN 1 TARAKAN,SMP/MTS,NASIONAL,negeri
660,SULAWESI UTARA,KOTA KOTAMOBAGU,SDN 2 POYOWA BESAR,SD/MI,MANDIRI,negeri
661,SULAWESI UTARA,KOTA BITUNG,SMPN 4 BITUNG,SMP/MTS,NASIONAL,negeri
662,GORONTALO,-,-,-,-,-
663,SULAWESI TENGAH,PALU,SMPN 7 PALU,SMP/MTS,NASIONAL,negeri
664,SULAWESI TENGAH,SIGI,SMAN 3 SIGI,SMA/MA/SMK,MANDIRI,negeri
665,SULAWESI BARAT,-,-,-,-,-
666,SULAWESI SELATAN,BULUKUMBA,MIN 1 BULUKUMBA,SD/MI,MANDIRI,negeri
667,SULAWESI SELATAN,LUWU TIMUR,SDN 238 MALLAULU,SD/MI,MANDIRI,negeri
668,SULAWESI SELATAN,MAROS,SDN 103 INP HASANUDDIN,SD/MI,MANDIRI,negeri
669,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SDN MANGKURA 2,SD/MI,MANDIRI,negeri
670,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SD INPRES MALENGKERI BERTINGKAT,SD/MI,MANDIRI,swasta
671,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SDN BORONG,SD/MI,MANDIRI,negeri
672,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SD INPRES UNGGULAN BTN PEMDA,SD/MI,MANDIRI,swasta
673,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SDN RAPPOCINI,SD/MI,MANDIRI,negeri
674,SULAWESI SELATAN,BONE,SD INPRES 10/73 WATANG PALAKKA,SD/MI,NASIONAL,swasta
675,SULAWESI SELATAN,BONE,SD INPRES 6/75 POLEONRO,SD/MI,NASIONAL,swasta
676,SULAWESI SELATAN,BULUKUMBA,MIN 3 BULUKUMBA,SD/MI,NASIONAL,negeri
677,SULAWESI SELATAN,BULUKUMBA,SDN 221 TANAH KONG KONG,SD/MI,NASIONAL,negeri
678,SULAWESI SELATAN,BULUKUMBA,SDN 11 KALUMEME,SD/MI,NASIONAL,negeri
679,SULAWESI SELATAN,BULUKUMBA,SDN 2 TERANG-TERANG,SD/MI,NASIONAL,negeri
680,SULAWESI SELATAN,GOWA,SDI PANGGENTUNGANG SELATAN,SD/MI,NASIONAL,swasta
681,SULAWESI SELATAN,LUWU TIMUR,SD YPS SINGKOLE,SD/MI,NASIONAL,swasta
682,SULAWESI SELATAN,LUWU TIMUR,SDN 222 BATU MERAH,SD/MI,NASIONAL,negeri
683,SULAWESI SELATAN,LUWU TIMUR,SDN 231 LAKAWALI,SD/MI,NASIONAL,negeri
684,SULAWESI SELATAN,KOTA MAKASSAR,SD KRISTEN METHODIST,SD/MI,NASIONAL,swasta
685,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SD INPRES BANTA BANTAENG I,SD/MI,NASIONAL,swasta
686,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SD INPRES HARTACO INDAH,SD/MI,NASIONAL,swasta
687,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SD INPRES TAMAJENE,SD/MI,NASIONAL,swasta
688,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SD INPRES TAMANGAP,SD/MI,NASIONAL,swasta
689,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SDN BALANG BARU 1,SD/MI,NASIONAL,swasta
690,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SDN KOMP SAMBUNG JAWA,SD/MI,NASIONAL,negeri
691,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SDN SUDIRMAN II,SD/MI,NASIONAL,negeri
692,SULAWESI SELATAN,KOTA MAKASSAR,UPT SPF SDN TANGGUL PATOMPO II,SD/MI,NASIONAL,negeri
693,SULAWESI SELATAN,BULUKUMBA,MTSS BADAN AMAL,SMP/MTS,MANDIRI,swasta
694,SULAWESI SELATAN,GOWA,SMPN 1 PALLANGGA,SMP/MTS,MANDIRI,negeri
695,SULAWESI SELATAN,GOWA,SMPN 1 PARIGI,SMP/MTS,MANDIRI,negeri
696,SULAWESI SELATAN,LUWU TIMUR,UPT SMPN 3 BURAU,SMP/MTS,MANDIRI,negeri
697,SULAWESI SELATAN,BONE,MTSN 4 BONE,SMP/MTS,NASIONAL,negeri
698,SULAWESI SELATAN,BULUKUMBA,SMPN 37 BULUKUMBA,SMP/MTS,NASIONAL,negeri
699,SULAWESI SELATAN,BULUKUMBA,SMPN 5 BULUKUMBA,SMP/MTS,NASIONAL,negeri
700,SULAWESI SELATAN,BULUKUMBA,SMPN 1 BULUKUMBA,SMP/MTS,NASIONAL,negeri
701,SULAWESI SELATAN,BULUKUMBA,SMPN 2 BULUKUMBA,SMP/MTS,NASIONAL,negeri
702,SULAWESI SELATAN,GOWA,SMP IT AL-FITYAN SCHOOL,SMP/MTS,NASIONAL,swasta
703,SULAWESI SELATAN,GOWA,SMPN 1 TINGGIMONCONG,SMP/MTS,NASIONAL,negeri
704,SULAWESI SELATAN,GOWA,SMPN 2 BAJENG BARAT,SMP/MTS,NASIONAL,negeri
705,SULAWESI SELATAN,LUWU TIMUR,MTSN 1 LUWU TIMUR,SMP/MTS,NASIONAL,negeri
706,SULAWESI SELATAN,LUWU TIMUR,SMPN 2 MALILI,SMP/MTS,NASIONAL,negeri
707,SULAWESI SELATAN,SINJAI,UPTD SMPN 7 SINJAI,SMP/MTS,NASIONAL,negeri
708,SULAWESI SELATAN,MAKASSAR,UPT SPF SMPN 2 MAKASSAR,SMP/MTS,NASIONAL,negeri
709,SULAWESI SELATAN,MAKASSAR,SMK KEHUTANAN NEGERI MAKASSAR,SMA/MA/SMK,MANDIRI,negeri
710,SULAWESI SELATAN,BANTAENG,SMAN 4 BANTAENG,SMA/MA/SMK,NASIONAL,negeri
711,SULAWESI SELATAN,BONE,SMAN 5 BONE,SMA/MA/SMK,NASIONAL,negeri
712,SULAWESI SELATAN,BULUKUMBA,SMAN 8 BULUKUMBA,SMA/MA/SMK,NASIONAL,negeri
713,SULAWESI SELATAN,SINJAI,SDN 231 LAKAWALI,SMA/MA/SMK,NASIONAL,negeri
714,SULAWESI TENGGARA,KOLAKA,SDN 3 LAMOKATO,SD/MI,NASIONAL,negeri
715,MALUKU,KOTA TUAL,SDN 20 TUAL,SD/MI,NASIONAL,negeri
716,MALUKU,KOTA TUAL,SDN 33 TUAL,SD/MI,NASIONAL,negeri
717,MALUKU UTARA,KOTA TERNATE,SDN 2 KOTA TERNATE,SD/MI,NASIONAL,negeri
718,PAPUA BARAT DAYA,-,-,-,-,-
719,PAPUA BARAT,MANOKWARI,SD INPRES 37 RANSIKI,SD/MI,NASIONAL,swasta
720,PAPUA BARAT,MANOKWARI SELATAN,SD INPRES 54 ORANSBARI,SD/MI,NASIONAL,swasta
721,PAPUA BARAT,MANOKWARI SELATAN,SMPS KRISTEN SYALOM TERPADU,SMP/MTS,NASIONAL,swasta
722,PAPUA,BIAK NUMFOR,SDN 1 BIAK KOTA,SD/MI,NASIONAL,negeri
723,PAPUA,KOTA JAYAPURA,SMPN 2 SENTANI,SMP/MTS,MANDIRI,negeri
724,PAPUA,KOTA JAYAPURA,SMP KRISTEN KALAM KUDUS,SMP/MTS,NASIONAL,swasta
725,PAPUA TENGAH,NABIRE,SMP YAPIS NABIRE,SMP/MTS,NASIONAL,swasta
726,PAPUA PEGUNUNGAN,-,-,-,-,-
727,PAPUA SELATAN,-,-,-,-,-
728,PUSAT,-,-,-,-,-
